Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.670933199	27699.43359	0.536278725	33049.73047	0.22318745
0.670944793	27647.39453	0.612636626	33049.73047	0.222476487
0.670956354	27700.99805	0.690566838	33049.73047	0.224329549
0.670967935	27727.23633	0.778113902	33093.26172	0.223488794
0.670979495	27694.89453	0.862994909	33093.26172	0.224554584
0.670991072	27757.29883	0.957192183	33093.26172	0.223529099
0.671002653	27694.94141	1.047239304	33093.26172	0.222210925
0.671014213	27717.12891	1.138621092	33093.26172	0.225264915
0.671025785	27856.99023	1.231469631	33147	0.224405393
0.671037369	27758.25977	1.325926185	33147	0.222903804
0.671048943	27854.34375	1.42045939	33147	0.22541846
0.671060481	27759.7793	1.51655376	33147	0.223256577
0.671072081	27761.20313	1.619311929	33147	0.224350685
0.671083676	27870.19336	1.726466179	33227.35938	0.222929047
0.671095248	27787.66992	1.844592452	33227.35938	0.221471291
0.67110681	27785.28125	1.969049215	33227.35938	0.221614355
0.671118364	27766.76953	2.084238529	33227.35938	0.220622332
0.671129959	27842.78125	2.204569101	33227.35938	0.223878999
0.671141541	27997.03516	2.318885565	33228.15234	0.225664624
0.671153088	27883.14258	2.426550865	33228.15234	0.22316335
0.671164681	27967.38086	2.540708542	33228.15234	0.226341512
0.671176269	27930.59961	2.653294087	33228.15234	0.224855034
0.67118785	27877.81445	2.77227211	33228.15234	0.225363561
0.671199411	27950.5957	2.889687777	33281.70313	0.223456874
0.67121097	27843.03906	3.003374577	33281.70313	0.221298155
0.671222551	27901.57227	3.11704278	33281.70313	0.224395879
0.671234121	27937.29883	3.235169172	33281.70313	0.223000342
0.671245692	27833.02344	3.345865011	33281.70313	0.222430611
0.671257264	28030.08398	3.460650921	33303.33984	0.225504331
0.671268852	27877.39063	3.573250771	33303.33984	0.221826779
0.671280424	27966.4375	3.683533669	33303.33984	0.225186939
0.671292006	27991.35742	3.796074629	33303.33984	0.224577658
0.67130359	27936.3457	3.907529116	33303.33984	0.224850009
0.671315138	28109.22266	4.012440205	33379.64453	0.223743983
0.67132665	28015.99023	4.11631155	33379.64453	0.22318282
0.671338325	28048.32813	4.215596676	33379.64453	0.225673994
0.671349873	28026.4375	4.316179276	33379.64453	0.22310695
0.671361436	27977.27539	4.428754807	33379.64453	0.223102152
0.671373018	28060.79297	4.539607525	33443.89844	0.222569517
0.671384578	28003.95703	4.6523633	33443.89844	0.220990572
0.671396185	28023.00586	4.762742043	33443.89844	0.223278429
