Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.667773498	9742.081055	0.509367883	34148.79297	0.01081902
0.667785093	9563.957031	0.539570093	34033.27344	0.010851382
0.667796652	9647.599609	0.573640943	34033.27344	0.010835026
0.667808227	9260.889648	0.609505475	34033.27344	0.010758015
0.667819799	9460.4375	0.641845346	34033.27344	0.010900725
0.667831392	10133.06543	0.682538033	34033.27344	0.010916933
0.667842951	9658.361328	0.729487956	34058.80078	0.010828864
0.667854521	9625.15625	0.773918986	34058.80078	0.01088493
0.667866126	9546.25	0.822599828	34058.80078	0.010811648
0.66787764	9152.847656	0.858352602	34058.80078	0.010730109
0.667889257	9877.788086	0.900204539	34058.80078	0.011012518
0.66790085	10008.50488	0.94280678	34005.67969	0.010913969
0.667912397	9573.728516	0.980142832	34005.67969	0.010828608
0.667923968	10516.43945	1.021942139	34005.67969	0.011108436
0.667935545	10353.75586	1.071645498	34005.67969	0.01098342
0.667947081	9895.419922	1.116137266	34005.67969	0.010886885
0.667958701	10767.73047	1.160485625	33931.07031	0.011119005
0.667970272	10402.57422	1.214405537	33931.07031	0.011009269
0.667981867	9961.481445	1.266050339	33931.07031	0.01092362
0.667993421	11205.67871	1.316222191	33931.07031	0.011172019
0.668004982	10600.63574	1.368106604	33931.07031	0.01104587
0.668016567	10313.1543	1.415347695	33894.87891	0.011026068
0.668028148	10370.07617	1.461127996	33894.87891	0.011013076
0.668039708	9944.05957	1.509729385	33894.87891	0.010933865
0.66805129	9926.453125	1.555467963	33894.87891	0.010992648
0.668062861	10118.36328	1.597736239	33894.87891	0.010968628
0.668074431	9690.503906	1.643442392	33848.65625	0.010891912
0.668086014	10214.50391	1.688455582	33848.65625	0.011151801
0.668097573	10533.70215	1.729865909	33848.65625	0.011053857
0.668109168	10022.79199	1.773758531	33848.65625	0.010955564
0.668120728	10165.71484	1.825339794	33848.65625	0.011031016
0.668132311	9890.130859	1.875213027	33794.37109	0.010949793
0.66814388	9528.828125	1.926795602	33794.37109	0.010874462
0.668155451	10199.2793	1.987687826	33794.37109	0.011044159
0.668167034	9941.826172	2.044303656	33794.37109	0.010950404
0.668178586	9567.735352	2.093819141	33794.37109	0.01088467
0.668190179	10818.69336	2.151104689	33720.01172	0.011146368
0.668201753	10323.83105	2.212299109	33720.01172	0.011050865
0.668213323	10054.14355	2.287467003	33720.01172	0.011031345
0.66822486	10184.50977	2.364275217	33720.01172	0.011011771
0.668236465	9770.399414	2.454777956	33720.01172	0.010929533
0.668248036	9660.266602	2.54754734	33708.09766	0.010961696
0.668259654	9698.001953	2.644318342	33708.09766	0.010921071
0.668271203	9317.574219	2.739648581	33708.09766	0.010849461
0.66828278	9388.079102	2.839182377	33708.09766	0.010926773
0.668294351	9291.767578	2.93738246	33708.09766	0.010845649
0.668305897	8921.021484	3.025392294	33626.88281	0.010781038
0.668317491	9762.390625	3.116054773	33626.88281	0.011053958
0.668329062	9742.317383	3.196599722	33626.88281	0.010952135
0.668340643	9355.467773	3.287445068	33626.88281	0.010875416
0.668352202	10377.13867	3.35900116	33626.88281	0.011130818
0.668363778	10097.24219	3.437454939	33510.48438	0.011047642
0.668375395	9674.166992	3.511571646	33510.48438	0.010976224
0.668386944	9902.066406	3.585469723	33510.48438	0.011010308
0.668398502	9502.850586	3.641123533	33510.48438	0.010929749
0.668410097	9362.518555	3.708729267	33510.48438	0.010927392
0.668421668	9659.30957	3.767054558	33385.41797	0.011000423
0.668433241	9316.620117	3.830053568	33385.41797	0.01092489
0.668444812	9219.527344	3.889117479	33385.41797	0.010952323
0.66845639	9294.229492	3.944441795	33385.41797	0.010923315
0.668467966	8880.519531	4.008368015	33385.41797	0.010839694
0.668479538	9133.651367	4.074541092	33283.0625	0.011022335
0.668491056	9260.197266	4.135556221	33283.0625	0.010937213
0.668502679	8895.21582	4.196982861	33283.0625	0.010871347
0.668514238	9095.855469	4.25757122	33283.0625	0.0109589
0.668525818	8921.698242	4.314368725	33283.0625	0.010874765
0.66853739	8568.285156	4.370627403	33183.01172	0.010834751
0.66854897	8897.945313	4.423108578	33183.01172	0.010910674
0.668560546	8624.268555	4.481785297	33183.01172	0.01083421
0.66857212	8238.361328	4.534287453	33183.01172	0.010769166
0.668583689	9581.423828	4.580933094	33183.01172	0.011033026
0.668595274	9151.732422	4.635104656	33099.30859	0.010960173
0.668606847	8967.529297	4.69015789	33099.30859	0.010963134
0.66861841	9752.40332	4.742331505	33099.30859	0.011081725
