Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.660701833	4053.381348	1.702301025	35968.91797	0.001736697
0.660713407	3987.320801	1.716498137	35968.91797	0.001736226
0.660724966	3926.911621	1.732152581	36018.29688	0.001732795
0.660736549	3939.256592	1.747875333	36018.29688	0.001732449
0.660748155	4950.422852	1.76374352	36018.29688	0.001756092
0.660759701	4800.700195	1.781355619	36018.29688	0.001752285
0.660771272	4674.111816	1.799911737	36018.29688	0.001749921
0.660782847	4564.230957	1.817735314	35980.07422	0.001749024
0.660794419	4465.940918	1.834725976	35980.07422	0.001746181
0.660806	4358.148926	1.854242921	35980.07422	0.001743975
0.66081757	4305.649414	1.867931604	35980.07422	0.00174228
0.66082914	4218.964355	1.886477351	35980.07422	0.00174098
0.660840712	4150.160156	1.90198493	36012.05078	0.001738794
0.660852294	4047.252686	1.920304298	36012.05078	0.001736065
0.660863864	4009.528564	1.937884688	36012.05078	0.001735475
0.660875447	3954.585205	1.953139067	36012.05078	0.001733294
0.66088703	3904.951172	1.972056627	36012.05078	0.001732554
0.66089858	3851.267822	1.988755584	36031.39063	0.001730738
0.660910151	3784.565674	2.006590843	36031.39063	0.001729118
0.660921734	3743.077637	2.020117044	36031.39063	0.001728328
0.660933293	3674.478271	2.04497242	36031.39063	0.001726932
0.660944874	3685.573975	2.058504582	36031.39063	0.001725699
0.660956456	4512.998535	2.071022034	36032.21094	0.00174573
0.660968038	4404.226074	2.089179993	36032.21094	0.001742911
0.660979541	4262.141602	2.107447624	36032.21094	0.00173988
0.660991135	4192.408691	2.126173258	36032.21094	0.001738361
0.661002673	4096.599121	2.146949053	36032.21094	0.001736416
0.661014326	4033.79126	2.165671587	36002.44141	0.001735516
0.6610259	3942.47876	2.187951326	36002.44141	0.001733845


