Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.619433087	27761.86914	0.511312068	32232.59961	0.443002739
0.619434235	27554.75391	0.520517051	32232.59961	0.443716994
0.619435399	27606.10547	0.515984058	32232.59961	0.444157789
0.619436572	27487.90625	0.520083547	32232.59961	0.442548264
0.619437628	27737.57813	0.518572152	32232.59961	0.440742553
0.619438871	27891.94531	0.522155464	32232.59961	0.440725674
0.619440019	27713.55664	0.534382403	32232.59961	0.442728834
0.619441191	27723.40234	0.537992835	32232.59961	0.444171674
0.619442341	27569.45898	0.543231189	32249.98047	0.444117905
0.619443442	27570.17188	0.544479847	32249.98047	0.442441467
0.619444661	27641.30664	0.546495318	32249.98047	0.441012332
0.619445798	27912.91602	0.546918452	32249.98047	0.441041633
0.61944697	27920.84375	0.562759221	32249.98047	0.443301806
0.619448119	27771.52539	0.571436644	32249.98047	0.445057405
0.619449268	27594.54297	0.573639631	32249.98047	0.445725172
0.619450441	27502.87305	0.577461839	32249.98047	0.444181099
0.619451612	27700.04492	0.581303835	32249.98047	0.442168588
0.619452761	27846.66016	0.580079794	32249.98047	0.441644337
0.619453922	27917.19141	0.593672693	32249.98047	0.441805491
0.619455036	27775.59766	0.606801152	32249.98047	0.444085139
0.619456243	27626.66406	0.605315626	32249.98047	0.445988492
0.61945738	27518.30859	0.609544933	32249.98047	0.44443131
0.619458518	27752.12695	0.613700986	32249.98047	0.443976222
0.619459701	27746.25391	0.611825049	32249.98047	0.442355145
0.619460815	27841.08984	0.618082166	32249.98047	0.442214995
0.619462012	27838.44141	0.637647271	32249.98047	0.443140095
0.619463173	27735.97852	0.638727903	32249.98047	0.445825283
0.619464321	27484.99414	0.643925667	32249.98047	0.443454862
0.619465493	27463.8418	0.643952429	32249.98047	0.441752249
0.619466619	27814.93945	0.642043471	32249.98047	0.440670212
0.619467793	27943.74805	0.652309895	32249.98047	0.441076489
0.619468907	27893.68945	0.667213857	32249.98047	0.443085794
0.619470114	27638.67188	0.670329213	32249.98047	0.444267669
0.619471275	27526.2793	0.662165046	32249.98047	0.445115399
0.6194724	27439.48047	0.666281223	32249.98047	0.441598113
0.619473549	27792.37695	0.672806978	32249.98047	0.440409325
0.619474746	27848.54102	0.685732007	32249.98047	0.439653945
0.619475894	27888.63672	0.706860364	32249.98047	0.441455175
0.619477055	27718.15039	0.708319545	32249.98047	0.443371032
0.619478227	27591.10156	0.717105866	32249.98047	0.446198631
0.619479306	27551.43555	0.723770261	32249.98047	0.443675947
0.619480524	27695.50781	0.721998572	32249.98047	0.443141878
0.619481708	27883.53125	0.726610124	32249.98047	0.441964315
0.619482857	27814.17773	0.736987293	32249.98047	0.442810946
0.619484007	27619.79102	0.751196146	32249.98047	0.44315229
0.619485108	27591.22656	0.758600354	32249.98047	0.443458716
0.619486315	27483.66797	0.761171222	32249.98047	0.442240162
0.619487464	27622.22852	0.76565975	32249.98047	0.43951787
0.61948866	27924.66992	0.76578325	32249.98047	0.439757438
0.619489821	27832.60547	0.781130254	32249.98047	0.441087863
0.619490957	27601.55273	0.787966132	32249.98047	0.442282769
0.61949206	27529.37891	0.794428885	32249.98047	0.442634079
0.619493267	27410.91406	0.794871092	32249.98047	0.440681646
0.619494416	27733.32422	0.803980589	32249.98047	0.438925393
0.619495588	27885.37891	0.801256776	32249.98047	0.438918379
0.619496725	28019.77539	0.812928855	32249.98047	0.442048261
0.619497897	27789.23633	0.822954357	32249.98047	0.445830061
0.619499046	27665.78125	0.830736935	32249.98047	0.447546111
0.619500207	27505.45508	0.839432895	32271.39844	0.446193192
0.619501378	27654.41602	0.836521566	32271.39844	0.442558258
0.619502517	27794.52539	0.839685202	32271.39844	0.441367909
0.619503688	27953.24805	0.849917173	32271.39844	0.441502715
0.619504802	27813.22266	0.869702816	32271.39844	0.443101889
0.619506009	27778.625	0.865145624	32271.39844	0.445311578
0.619507171	27581.39258	0.877248704	32271.39844	0.445787877
0.619508319	27588.37109	0.879931808	32271.39844	0.443527398
0.61950948	27682.29492	0.883592546	32271.39844	0.440273947
0.619510618	27913.0293	0.892595828	32271.39844	0.440380576
0.61951179	27832.85938	0.90992105	32271.39844	0.441910403
0.619512869	27666.00977	0.918972135	32271.39844	0.442746289
0.619514099	27605.37305	0.923309565	32271.39844	0.442823779
0.619515248	27475.47461	0.927719653	32271.39844	0.441598193
0.619516397	27789.25	0.928392887	32271.39844	0.440111535
0.619517569	27871.67188	0.936501086	32271.39844	0.440817116
0.619518695	27788.08398	0.948548019	32271.39844	0.441685377
0.619519902	27752.1875	0.96012032	32271.39844	0.442758546
0.619521039	27593.23828	0.967172205	32271.39844	0.444042501
0.619522188	27425.82031	0.972809434	32271.39844	0.442080825
0.619523371	27612.50781	0.975438595	32271.39844	0.43821146
0.61952452	27883.18945	0.977122366	32271.39844	0.438984154
0.619525681	27841.56445	0.987557828	32271.39844	0.439257017
0.619526818	27697.70508	1.00379014	32271.39844	0.440337786
0.61952799	27601.33594	1.010338664	32271.39844	0.442817975
0.619529069	27555.51172	1.012694001	32271.39844	0.442121715
0.619530312	27577.14844	1.020840764	32271.39844	0.439917286
0.619531472	27740.98047	1.025333285	32271.39844	0.437751706
0.619532597	27887.41406	1.035560012	32271.39844	0.43962009
0.619533782	27853.91211	1.053375721	32271.39844	0.44065501
0.619534918	27661.26563	1.060286999	32271.39844	0.443391531
0.619536079	27621.36328	1.060097933	32271.39844	0.443667348
0.619537239	27583.97852	1.06644392	32271.39844	0.442671926
0.619538411	27809.50391	1.073828697	32271.39844	0.441435111
