Day fraction since midnight on 	red dye (mg/L)	Supply air pressure (Pa)	Run Pump ()	Pump ()
0.594002102	1.858355641	0	1	1
0.594013642	1.857157946	0	1	1
0.594025219	1.855706692	0	1	1
0.59403678	1.854658842	0	1	1
0.594048354	1.854103327	0	1	1
0.594059931	1.85371697	0	1	1
0.594071513	1.852639198	0	1	1
0.594083077	1.851221681	0	1	1
0.594094654	1.850205421	0	1	1
0.594106229	1.849179506	0	1	1
0.594117799	1.848728776	0	1	1
0.59412939	1.847690582	0	1	1
0.594140953	1.84629786	0	1	1
0.59415254	1.845234871	0	1	1
0.594164125	1.844914198	0	1	1
0.594175675	1.844841838	0	1	1
0.594187256	1.84437418	0	1	1
0.594198842	1.844085574	0	1	1
0.594210404	1.843409181	0	1	1
0.594221995	1.842911482	0	1	1
0.594233555	1.842152596	0	1	1
0.594245118	1.841937423	0	1	1
0.594256683	1.841027498	0	1	1
0.594268272	1.840339661	0	1	1
0.594279844	1.840324402	0	1	1
0.594291412	1.839619517	0	1	1
0.594302984	1.839211464	0	1	1
0.594314569	1.839124322	0	1	1
0.594326141	1.838843823	0	1	1
0.594337711	1.838612437	0	1	1
0.594349289	1.838423729	0	1	1
0.594360867	1.837398171	0	1	1
0.594372427	1.836980939	0	1	1
0.594384014	1.836495161	0	1	1
0.594395571	1.836058021	0	1	1
0.594407154	1.83508563	0	1	1
0.59441874	1.834851503	0	1	1
0.594430295	1.834766269	0	1	1
0.594441879	1.834175825	0	1	1
0.594453454	1.833803654	0	1	1
0.594465032	1.83392787	0	1	1
0.5944766	1.833587289	0	1	1
0.594488181	1.833425522	0	1	1
0.594499735	1.833317995	0	1	1
0.594511315	1.83319056	0	1	1
0.594522908	1.833264709	0	1	1
0.594534491	1.833148837	0	1	1
0.59454605	1.833903313	0	1	1
0.594557618	1.845648646	0	1	1
0.594569193	1.831164002	0	1	1
0.594580758	1.831089377	0	1	1
0.594592347	1.83115232	0	1	1
0.59460392	1.831030965	0	1	1
0.594615482	1.830896139	0	1	1
0.594627075	1.830854893	0	1	1
0.594638636	1.830811381	0	1	1
0.594650207	1.830539465	0	1	1
0.594661782	1.830648303	0	1	1
0.594673381	1.830428243	0	1	1
