Day fraction since midnight on 	red dye (mg/L)	Run Pump ()	Pump ()
0.627915029	13.78672886	1	1
0.627926587	13.8683548	1	1
0.627938157	13.84979248	1	1
0.627949739	13.8320837	1	1
0.62796132	13.76385975	1	1
0.627972878	13.92413425	1	1
0.62798446	13.94514847	1	1
0.62799603	13.7305336	1	1
0.628007611	14.00373173	1	1
0.628019192	14.00338459	1	1
0.628030762	13.92296314	1	1
0.628042321	13.92983532	1	1
0.628053914	13.88510609	1	1
0.628065472	13.86179924	1	1
0.628077053	13.88562679	1	1
0.628088635	13.96727467	1	1
pulse			
0.628100205	13.88995647	1	1
0.628111763	14.02945328	1	1
0.628123344	14.20560455	1	1
0.628134926	13.88193607	1	1
0.628146484	13.97796154	1	1
0.628158065	14.01342011	1	1
0.628169635	14.02026844	1	1
0.628181217	14.4223423	1	1
0.628192798	14.55516052	1	1
0.628204356	14.43265057	1	1
0.628215938	14.36146832	1	1
0.628227519	14.02959061	1	1
0.628239078	14.21575832	1	1
0.628250649	14.35113144	1	1
0.628262232	14.48648071	1	1
0.62827381	14.98482132	1	1
0.62828538	15.25302887	1	1
0.628296959	15.42411041	1	1
0.628308528	15.34607792	1	1
0.628320109	15.28102589	1	1
0.628331674	15.95134544	1	1
0.628343244	16.0477314	1	1
0.628354825	16.37694931	1	1
0.628366406	16.11398697	1	1
0.628377965	15.8998909	1	1
0.628389546	16.30033493	1	1
0.628401128	16.18402481	1	1
0.628412686	16.39947701	1	1
0.628424267	16.06677818	1	1
0.628435849	16.37252808	1	1
0.628447419	16.46627808	1	1
0.628458977	16.56483841	1	1
0.628470582	16.85737038	1	1
0.628482128	17.02036095	1	1
0.62849371	17.59906197	1	1
0.628505291	18.32159996	1	1
0.628516849	18.37615204	1	1
0.628528431	18.76605225	1	1
0.628540001	19.00598145	1	1
0.628551582	19.2374382	1	1
0.62856314	19.24622917	1	1
0.628574733	19.39479828	1	1
0.628586292	19.48638725	1	1
0.628597873	19.72218323	1	1
0.628609454	20.32579994	1	1
0.628621013	21.3382206	1	1
0.628632583	22.14639282	1	1
0.628644164	22.89121628	1	1
0.628655746	23.90227318	1	1
0.62866732	24.71203041	1	1
0.628678901	25.58419991	1	1
0.628690453	25.99427223	1	1
0.628702046	25.85020638	1	1
0.628713616	25.52921486	1	1
0.628725174	26.2940979	1	1
0.628736762	25.46204376	1	1
0.628748339	25.28091049	1	1
0.6287599	25.66460228	1	1
0.628771474	25.9968586	1	1
0.628783041	26.05443573	1	1
0.628794647	26.21080399	1	1
0.62880621	26.32795525	1	1
0.628817767	26.73241234	1	1
0.628829342	27.21320724	1	1
0.628840923	27.32815933	1	1
0.628852494	27.26765442	1	1
0.628864073	27.03140831	1	1
0.628875636	27.05893707	1	1
0.628887223	27.12776566	1	1
0.628898794	26.86931419	1	1
0.628910355	26.84452248	1	1
0.628921931	27.19737434	1	1
0.628933499	27.78547096	1	1
0.628945096	28.54578018	1	1
0.628956653	28.52709579	1	1
0.628968231	28.52208138	1	1
0.628979802	27.88109016	1	1
0.628991389	27.63875198	1	1
0.62900296	27.78217316	1	1
0.629014527	28.31058502	1	1
0.629026104	28.16342163	1	1
0.629037676	27.823946	1	1
0.629049247	27.74929047	1	1
0.629060812	27.17738914	1	1
0.629072403	26.63367653	1	1
0.629083979	26.84273338	1	1
0.62909555	27.14219856	1	1
0.62910711	27.5737381	1	1
0.62911868	28.00614548	1	1
0.629130261	27.54490662	1	1
0.629141845	27.9443531	1	1
0.629153415	28.1081028	1	1
0.629164994	28.71282768	1	1
0.629176563	28.89081383	1	1
0.629188143	29.33842659	1	1
0.629199713	29.4444809	1	1
0.629211288	29.46072197	1	1
0.629222859	29.52077484	1	1
0.629234424	29.67959785	1	1
0.629246013	29.99354744	1	1
0.62925757	30.40947151	1	1
0.629269152	30.32639503	1	1
0.629280726	30.24180222	1	1
0.629292299	30.11354637	1	1
0.629303868	30.12140274	1	1
0.629315437	30.13669014	1	1
0.629327015	29.91695404	1	1
0.629338581	29.44328499	1	1
0.629350159	29.24484825	1	1
0.629361733	29.58306503	1	1
0.629373322	29.48395157	1	1
0.629384875	29.62355804	1	1
0.629396457	29.80717087	1	1
0.629408041	29.6031723	1	1
0.629419614	30.1574955	1	1
0.629431189	31.58344841	1	1
0.629442748	32.24158096	1	1
0.62945433	32.12459564	1	1
0.6294659	32.32727814	1	1
0.629477489	31.47645187	1	1
0.62948904	31.53302193	1	1
0.629500619	31.27497292	1	1
0.629512202	31.41761589	1	1
0.629523773	31.42241287	1	1
0.629535348	31.26338959	1	1
0.629546915	31.32922173	1	1
0.629558479	31.23933792	1	1
0.629570067	31.50584412	1	1
0.629581627	31.7298851	1	1
0.629593216	31.65041733	1	1
0.629604776	32.57474518	1	1
0.629616357	33.40140533	1	1
0.629627933	33.6699791	1	1
0.629639502	33.58820724	1	1
0.629651082	34.21545029	1	1
0.629662646	33.95023727	1	1
0.629674216	33.47143173	1	1
0.629685786	31.89115334	1	1
0.629697364	31.16612053	1	1
0.629708935	31.35375595	1	1
0.629720508	31.33301353	1	1
0.6297321	31.7713623	1	1
0.629743674	33.06509018	1	1
0.629755229	32.92712784	1	1
0.629766809	32.69683838	1	1
0.629778387	32.24794006	1	1
0.629789961	31.86574936	1	1
0.629801541	31.94545364	1	1
0.629813096	32.03679657	1	1
0.62982469	31.76453209	1	1
0.629836246	31.59166527	1	1
0.62984782	31.21319199	1	1
0.629859392	30.54699898	1	1
0.629870979	30.30213356	1	1
0.629882536	29.67927742	1	1
0.62989413	29.80116081	1	1
0.629905691	29.77567482	1	1
0.629917257	29.38096428	1	1
0.629928832	29.51486206	1	1
0.629940414	29.73657417	1	1
0.629951999	29.59373283	1	1
0.62996355	29.9632225	1	1
0.629975127	30.25666618	1	1
0.629986712	29.63899803	1	1
0.629998272	29.95906639	1	1
0.630009843	30.32749367	1	1
0.630021438	30.11986542	1	1
0.630032994	30.11027527	1	1
